Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-02-13,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 6079,,3500.00,,Shared
2026-02-13,Costco,Shopping,Joint Checking (...3359),COSTCO WHSE #10,,-156.50,,Shared
2026-02-13,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E 470 Express Tolls,,-26.20,,Shared
2026-02-13,Xcel Energy,Gas & Electric,Joint Checking (...3359),ACH Withdrawal XCEL ENERGY-PSCO XCELENERGY,,-307.70,,Shared
2026-02-13,Real Property Management,Other Income,Joint Checking (...3359),ACH Deposit SIGONFILE From Real Property Ma,,2695.50,,Shared
2026-02-13,Desi Mandi,Restaurants & Bars,Apple Card,Desi Mandi,,-50.56,,Shared
2026-02-13,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-120.14,,Shared
2026-02-12,365 Retail Markets,Restaurants & Bars,Apple Card,365 Market K 888 432-3,,-2.15,,Shared
2026-02-12,Mobil,Gas,Apple Card,Mobil,,-40.98,,Shared
2026-02-12,ExxonMobil,Gas,Apple Card,Exxon Compark Convenie,,-15.17,,Shared
2026-02-11,Citi,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal CITI CARD ONLINE PAYMENT,,-138.97,,Shared
2026-02-11,Natural Grocers,Groceries,Apple Card,Natural Grocers,,-70.62,,Shared
2026-02-10,Cashback,Other Income,Joint Checking (...3359),Debit Card Cashback Bonus One-Time Redemption,,5.18,,Shared
2026-02-09,Phillips 66,Gas,Apple Card,Phillips 66 - Meridi,,-66.96,,Shared
2026-02-09,365 Retail Markets,Restaurants & Bars,Apple Card,365 Retail Markets Vending,,-1.25,,Shared
2026-02-09,Taaza Mart,Groceries,Apple Card,Taaza Mart Denver,,-122.46,,Shared
2026-02-09,Walmart,Groceries,Apple Card,Walmart Supercenter,,-568.68,,Shared
2026-02-08,Target,Shopping,Apple Card,Target,,-23.96,,Shared
2026-02-08,Costco,Shopping,Joint Checking (...3359),COSTCO WHSE #10,,-110.25,,Shared
2026-02-08,Amazon,Shopping,Apple Card,Amazon,,-262.77,,Shared
2026-02-07,King Soopers,Groceries,Apple Card,King Soopers,,-4.31,,Shared
2026-02-07,King Soopers,Groceries,Apple Card,King Soopers,,-50.00,,Shared
2026-02-07,E Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-27.40,,Shared
2026-02-07,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-18.75,,Shared
2026-02-06,Raising Cane's,Restaurants & Bars,Apple Card,Raising Canes 0304,,-20.87,,Shared
2026-02-06,7-Eleven,Gas,Apple Card,7-Eleven 39849,,-4.58,,Shared
2026-02-06,S&s,Gas,Apple Card,S&s #505,,-64.43,,Shared
2026-02-06,Paradise Tavern,Restaurants & Bars,Apple Card,Paradise Tavern -,,-52.34,,Shared
2026-02-05,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 6079,,1000.00,,Shared
2026-02-05,Uber Eats,Restaurants & Bars,Apple Card,Uber *eats,,-3.65,,Shared
2026-02-05,365 Retail Markets,Restaurants & Bars,Apple Card,365 Market K 888 432-3,,-2.15,,Shared
2026-02-05,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-23.20,,Shared
2026-02-05,Bill Payment,Transfer,Apple Card,Bill Payment,,500.00,,Shared
2026-02-05,Apple,Shopping,Apple Card,Apple,,-4.19,,Shared
2026-02-04,Taaza Mart,Groceries,Apple Card,Taaza Mart,,-90.57,,Shared
2026-02-04,Target,Shopping,Joint Checking (...3359),ACH Withdrawal TARGET DEBIT CRD ACH TRAN 5S0102 TARGET 2219                 PARKER          CO,,-89.92,,Shared
2026-02-03,Chase,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal CHASE CREDIT CRD EPAY,,-705.62,,Shared
2026-02-03,Lexus of Greenwood Village,Auto Maintenance,Apple Card,Lexus of Greenwood Village,,-197.29,,Shared
2026-02-03,Circle K,Gas,Apple Card,Circle K,,-37.59,,Shared
2026-02-03,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-30.69,,Shared
2026-02-03,Uber,Taxi & Ride Shares,Apple Card,Uber *one Membership,,-9.99,,Shared
2026-02-03,Phillips 66,Gas,Apple Card,Phillips 66,,-60.76,,Shared
2026-02-02,Xfinity,Internet & Cable,Joint Checking (...3359),XFINITY MOBILE,,-19.79,,Shared
2026-02-02,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 2481,,200.00,,Shared
2026-02-02,ServiceMac,Mortgage,Joint Checking (...3359),ACH Withdrawal SERVICEMAC PMT MTGE PAYMT,,-4813.80,,Shared
2026-02-02,Utility,Water,Joint Checking (...3359),ACH Withdrawal PWSD UTILITY,,-97.56,,Shared
2026-02-02,Mr. Cooper,Mortgage,Joint Checking (...3359),ACH Withdrawal NSM DBAMR.COOPER NSM DBAMR,,-3735.85,,Shared
2026-02-02,Apple,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal APPLECARD GSBANK PAYMENT,,-1682.39,,Shared
2026-02-01,Interest,Interest,Apple Card,Interest,,-36.63,,Shared
2026-02-01,Apple,Shopping,Apple Card,Apple,,-2.99,,Shared
2026-02-01,Bill Payment,Transfer,Apple Card,Bill Payment,,1682.39,,Shared
2026-02-01,Zelle,Transfer,Joint Checking (...3359),Zelle Payment To NESAMANI PAULRAJ 6B612KYOD,,-336.96,,Shared
2026-02-01,Zelle,Transfer,Joint Checking (...3359),Zelle Payment To JETWIN MB51VKKOD,,-19.14,,Shared
2026-02-01,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 6079,,2000.00,,Shared
