Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-01-26,Apple Pay,Transfer,Joint Checking (...3359),APPLE CASH SENT,,-21.48,,Shared
2026-01-26,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-75.79,,Shared
2026-01-26,365 Retail Markets,Restaurants & Bars,Apple Card,365 Market K 888 432-3,,-2.15,,Shared
2026-01-26,365 Retail Markets,Restaurants & Bars,Apple Card,365 Retail Markets Vending,,-1.25,,Shared
2026-01-26,Shell,Gas,Apple Card,Shell,,-58.81,,Shared
2026-01-26,Comcast,Internet & Cable,Joint Checking (...3359),ACH Withdrawal COMCAST-XFINITY CABLE SVCS,,-50.59,,Shared
2026-01-25,Qrico Cravings,Groceries,Apple Card,Qrico Cravings,,-5.39,,Shared
2026-01-25,Special Occasion Wears,Clothing,Apple Card,Special Occasion Wears,,-75.70,,Shared
2026-01-25,I Scream Gelato,Restaurants & Bars,Apple Card,I Scream Gelato,,-7.60,,Shared
2026-01-25,Shanghai 360,Restaurants & Bars,Apple Card,Shanghai 360,,-14.44,,Shared
2026-01-25,Chipotle,Restaurants & Bars,Apple Card,Chipotle Mexican Grill,,-6.47,,Shared
2026-01-25,Wetzel's Pretzels,Restaurants & Bars,Apple Card,Wetzel's Pretzels,,-8.05,,Shared
2026-01-23,Phillips 66,Gas,Apple Card,Phillips 66,,-30.88,,Shared
2026-01-23,Return,Transfer,Joint Checking (...3359),Debit Return,,52.70,,Shared
2026-01-23,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-23.20,,Shared
2026-01-22,Bank of America,Transfer,Joint Checking (...3359),"ACH Deposit From Bank of America, NA",,4000.00,,Shared
2026-01-22,Apple,Shopping,Apple Card,Apple,,-3.98,,Shared
2026-01-22,365 Retail Markets,Restaurants & Bars,Apple Card,365 Market K 888 432-3,,-2.47,,Shared
2026-01-22,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 6079,,3500.00,,Shared
2026-01-21,Apple Pay,Transfer,Joint Checking (...3359),APPLE CASH SENT,,-52.70,,Shared
2026-01-21,Toyota,Auto Payment,Joint Checking (...3359),ACH Withdrawal TOYOTA ACH RTL 01192026,,-1019.19,,Shared
2026-01-21,Conoco,Gas,Apple Card,Conoco,,-48.34,,Shared
2026-01-20,Check #165,Check,Joint Checking (...3359),Check              165,,-390.00,,Shared
2026-01-20,Freddy's Frozen Custard,Restaurants & Bars,Apple Card,Freddy's Frozen Custard & Steakburgers,,-16.03,,Shared
2026-01-19,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-15.44,,Shared
2026-01-18,Apple,Shopping,Apple Card,Apple,,-2.04,,Shared
2026-01-18,Walmart,Shopping,Apple Card,Walmart,,-62.80,,Shared
2026-01-18,Apple,Shopping,Apple Card,Apple,,-11.81,,Shared
2026-01-18,Walmart,Groceries,Apple Card,Wm Supercenter #2892,,-239.00,,Shared
2026-01-17,Waterway Billin,Water,Joint Checking (...3359),WATERWAY BILLIN,,-37.00,,Shared
2026-01-17,Apple Services,Shopping,Apple Card,Apple Services,,-9.99,,Shared
2026-01-16,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-126.31,,Shared
2026-01-15,Raising Cane's,Restaurants & Bars,Apple Card,Raising Cane's Chicken Fingers,,-18.15,,Shared
2026-01-15,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E 470 Express Tolls,,-25.50,,Shared
2026-01-14,Cava Highlands,Restaurants & Bars,Apple Card,10110 Cava Highlands,,-14.91,,Shared
2026-01-14,State Farm,Insurance,Apple Card,State Farm,,-262.80,,Shared
2026-01-14,Xcel Energy,Gas & Electric,Joint Checking (...3359),ACH Withdrawal XCEL ENERGY-PSCO XCELENERGY,,-254.67,,Shared
2026-01-14,Walmart,Shopping,Apple Card,Walmart,,-45.36,,Shared
2026-01-13,Paddlers Cove,Loan Repayment,Joint Checking (...3359),ACH Withdrawal Paddlers Cove Pr L6543713,,-250.00,,Shared
2026-01-13,Real Property Management,Other Income,Joint Checking (...3359),ACH Deposit SIGONFILE From Real Property Ma,,2695.50,,Shared
2026-01-13,Phillips 66,Gas,Apple Card,Phillips 66,,-47.09,,Shared
2026-01-12,Check #162,Check,Joint Checking (...3359),Check              162,,-130.00,,Shared
2026-01-12,Raising Cane's,Restaurants & Bars,Apple Card,Raising Cane's Chicken Fingers,,-20.87,,Shared
2026-01-11,Nutrition,Uncategorized,Joint Checking (...3359),DCSD NUTRITION,,-20.00,,Shared
2026-01-11,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-10.89,,Shared
2026-01-11,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-22.82,,Shared
2026-01-11,Circle K,Gas,Apple Card,Circle K,,-51.33,,Shared
2026-01-10,McDonald's,Restaurants & Bars,Apple Card,McDonald's,,-14.45,,Shared
2026-01-09,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-52.75,,Shared
2026-01-09,Apple,Shopping,Apple Card,Apple,,-0.99,,Shared
2026-01-09,Target,Shopping,Joint Checking (...3359),ACH Withdrawal TARGET DEBIT CRD ACH TRAN 5S0102 TARGET 2716                 HIGHLANDS RAN   CO,,-42.05,,Shared
2026-01-07,City Market & Deli,Restaurants & Bars,Apple Card,City Market Deli,,-2.15,,Shared
2026-01-07,The Escape Game,Entertainment & Recreation,Apple Card,The Escape Game,,-184.78,,Shared
2026-01-07,Sukiya Ramen,Restaurants & Bars,Apple Card,Sukiya Ramen,,-69.23,,Shared
2026-01-06,Bill Payment,Transfer,Apple Card,Bill Payment,,841.19,,Shared
2026-01-06,Phillips 66,Gas,Apple Card,Phillips 66 - S&s Fu,,-33.77,,Shared
2026-01-05,Cashback,Other Income,Joint Checking (...3359),Debit Card Cashback Bonus One-Time Redemption,,4.62,,Shared
2026-01-05,Cashback,Other Income,Joint Checking (...3359),Debit Card Cashback Bonus One-Time Redemption,,16.25,,Shared
2026-01-05,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-01-05,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-100.00,,Shared
2026-01-05,Citi,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal CITI CARD ONLINE PAYMENT,,-730.53,,Shared
2026-01-05,Chase,Credit Card Payment,Joint Checking (...3359),ACH Withdrawal CHASE CREDIT CRD EPAY,,-593.47,,Shared
2026-01-05,Walmart,Groceries,Apple Card,Walmart,,-71.81,,Shared
2026-01-04,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 6079,,2000.00,,Shared
2026-01-04,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-01-04,ATM Withdrawal,Cash & ATM,Joint Checking (...3359),ATM Withdrawal,,-200.00,,Shared
2026-01-03,Dollar Tree,Shopping,Apple Card,Dollar Tree,,-7.29,,Shared
2026-01-03,Uber,Taxi & Ride Shares,Apple Card,Uber *one Membership,,-9.99,,Shared
2026-01-02,Xfinity,Internet & Cable,Joint Checking (...3359),XFINITY MOBILE,,-19.79,,Shared
2026-01-02,Transfer From Checking,Transfer,Joint Checking (...3359),Transfer From CHECKING 2481,,3000.00,,Shared
2026-01-02,Sierra Ridge Met Payment,Rent,Joint Checking (...3359),ACH Withdrawal SIERRA RIDGE MET    PAYMENT,,-188.50,,Shared
2026-01-02,ServiceMac,Mortgage,Joint Checking (...3359),ACH Withdrawal SERVICEMAC PMT MTGE PAYMT,,-4813.80,,Shared
2026-01-02,Utility,Water,Joint Checking (...3359),ACH Withdrawal PWSD UTILITY,,-97.19,,Shared
2026-01-02,Mr. Cooper,Mortgage,Joint Checking (...3359),ACH Withdrawal NSM DBAMR.COOPER NSM DBAMR,,-3735.85,,Shared
2026-01-02,Apple Pay,Transfer,Joint Checking (...3359),ACH Deposit From APPLE CASH BANK XFER,,15.73,,Shared
2026-01-01,Affirm,Shopping,Joint Checking (...3359),SP+AFF* GUARDIA,,-129.04,,Shared
2026-01-01,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-35.00,,Shared
