Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-06-03,Discover,Transfer,CASHBACK DEBIT (...3359),TRANSFER FROM CHECKING 6079,,4001.00,,Shared
2026-06-03,Xfinity,Phone,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0602 7606&@#XFINITY MOBILE 888-936-4968 PA US,,-19.79,,Shared
2026-06-03,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.27,,Shared
2026-06-03,Uber,Taxi & Ride Shares,Apple Card,Uber   *one Membership,,-9.99,,Shared
2026-06-02,Meridian,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0602 8352&@#MERIDIAN 44 PARKER CO US,,-71.01,,Shared
2026-06-02,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-27.20,,Shared
2026-06-02,Rocket Mortgage,Mortgage,CASHBACK DEBIT (...3359),ACH WITHDRAWAL ROCKET MORTGAGE LOAN,,-3729.92,,Shared
2026-06-02,Starbucks,Coffee Shops,Apple Card,Starbucks Coffee Company,,-6.97,,Shared
2026-06-01,PWSD Utility,Water,CASHBACK DEBIT (...3359),ACH WITHDRAWAL PWSD UTILITY,,-126.83,,Shared
2026-06-01,Taco Bell,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0530 8352&@#TACO BELL 04277 LONE TREE CO US,,-29.61,,Shared
2026-06-01,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0531 7606&@#KONARK GROCERS PARKER CO US,,-14.38,,Shared
2026-06-01,ServiceMac,Mortgage,CASHBACK DEBIT (...3359),ACH WITHDRAWAL SERVICEMAC LLC PAYMENT,,-4651.14,,Shared
2026-06-01,Costco,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0601 8352&@#COSTCO WHSE #10 PARKER CO US,,-123.00,,Shared
2026-06-01,Walmart,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0601 8352&@#WAL-MART #2892 PARKER CO US,,-44.64,,Shared
2026-05-31,Cafe India,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0529 7606&@#TST*CAFE INDIA 720-638-6899 CO US,,-31.62,,Shared
2026-05-31,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.91,,Shared
2026-05-30,Discover,Transfer,CASHBACK DEBIT (...3359),TRANSFER FROM CHECKING 2481,,5000.00,,Shared
2026-05-30,McDonald's,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0530 8352&@#MCDONALD'S F213 LONE TREE CO US,,-16.04,,Shared
2026-05-30,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.03,,Shared
2026-05-29,spruce power,Gas & Electric,CASHBACK DEBIT (...3359),ACH WITHDRAWAL SPRUCE POWER 4 PAYMENTS,,-67.51,,Shared
2026-05-29,Hobby Lobby,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0529 8352&@#HOBBYLOBBY PARKER CO US,,-99.93,,Shared
2026-05-29,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.36,,Shared
2026-05-28,Apple,Credit Card Payment,CASHBACK DEBIT (...3359),ACH WITHDRAWAL APPLECARD GSBANK PAYMENT,,-3527.85,,Shared
2026-05-28,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-36.10,,Shared
2026-05-28,Apple,Shopping,Apple Card,Apple,,-30.48,,Shared
2026-05-28,Il Makiage,Shopping,Apple Card,IL MAKIAGE,,-107.00,,Shared
2026-05-28,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,1.37,,Shared
2026-05-27,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0526 7606&@#KONARK GROCERS HIGHLANDS RAN CO US,,-56.20,,Shared
2026-05-27,Discover,Transfer,CASHBACK DEBIT (...3359),TRANSFER FROM CHECKING 6079,,4002.00,,Shared
2026-05-27,Discover,Transfer,CASHBACK DEBIT (...3359),TRANSFER FROM ONLINE SAVINGS 1405,,3530.61,,Shared
2026-05-27,Apple,Shopping,Apple Card,Apple,,-0.99,,Shared
2026-05-27,"Apple Card, Cash, and Savings",Credit Card Payment,Apple Card,Bill Payment,,3527.85,,Shared
2026-05-27,"Apple Card, Cash, and Savings",Credit Card Payment,Apple Card,Bill Payment,,2.76,,Shared
2026-05-27,Phillips 66,Gas,Apple Card,Phillips 66,,-68.66,,Shared
2026-05-27,Phillips 66,Gas,Apple Card,Phillips 66,,-87.89,,Shared
2026-05-27,Google,Internet & Cable,Apple Card,Google,,-28.34,,Shared
2026-05-27,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.28,,Shared
2026-05-27,Point of Sale,Miscellaneous,Apple Cash,Point Of Sale,,-2.76,,Shared
2026-05-26,Comcast,Internet & Cable,CASHBACK DEBIT (...3359),ACH WITHDRAWAL COMCAST-XFINITY CABLE SVCS,,-50.59,,Shared
2026-05-26,IHOP,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0524 8352&@#IHOP #1833 PARKER CO US,,-70.00,,Shared
2026-05-26,King Soopers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0525 7606&@#KING SOOPERS #0 PARKER CO US,,-27.58,,Shared
2026-05-25,TJ Maxx,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0523 8352&@#T J MAXX #1458 CASTLE ROCK CO US,,-105.01,,Shared
2026-05-24,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.31,,Shared
2026-05-23,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-30.75,,Shared
2026-05-22,Cafe India,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0520 7606&@#TST*CAFE INDIA GREENWOOD VIL CO US,,-36.44,,Shared
2026-05-21,Toyota,Loan Repayment,CASHBACK DEBIT (...3359),ACH WITHDRAWAL TOYOTA ACH RTL WEB,,-1019.19,,Shared
2026-05-21,Freddy's Frozen Custard & Steakburgers,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0519 8352&@#FREDDY'S 11-000 HIGHLANDS RAN CO US,,-29.36,,Shared
2026-05-21,Circle K,Gas,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0521 8352&@#CIRCLE K # 4115 HIGHLANDS RAN CO US,,-50.12,,Shared
2026-05-21,Walmart,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0521 8352&@#WAL-MART #2892 PARKER CO US,,-211.07,,Shared
2026-05-19,S&s Fuels,Gas,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0519 7606&@#S&S FUELS #305 PARKER CO US,,-68.85,,Shared
2026-05-19,Dillard's,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0519 8352&@#DILLARDS 981 PA LITTLETON CO US,,-317.14,,Shared
2026-05-18,Apple,Shopping,Apple Card,Apple,,-2.04,,Shared
2026-05-18,Apple,Shopping,Apple Card,Apple,,-11.81,,Shared
2026-05-18,Underground Printing,Clothing,CASHBACK DEBIT (...3359),ACH WITHDRAWAL UNDERGROUND SPRI UNDERGROUN,,-135.00,,Shared
2026-05-17,Waterway,Water,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0517 8352&@#WATERWAY BILLIN CHESTERFIELD MO US,,-37.00,,Shared
2026-05-17,Apple,Shopping,Apple Card,Apple,,-9.99,,Shared
2026-05-15,CVS,Medical,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0515 8352&@#CVS/PHARMACY #1 PARKER CO US,,-48.23,,Shared
2026-05-15,King Soopers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0514 7606&@#KING SOOPERS #0 PARKER CO US,,-70.28,,Shared
2026-05-15,Meridian,Internet & Cable,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0515 8352&@#MERIDIAN 44 PARKER CO US,,-94.52,,Shared
2026-05-15,Hobby Lobby,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0515 8352&@#HOBBYLOBBY PARKER CO US,,-45.85,,Shared
2026-05-15,Painted Rock Family Medicine,Medical,Apple Card,Painted Rock Family Medicine,,-53.40,,Shared
2026-05-15,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,2.20,,Shared
2026-05-14,Real Property Management,Business Income,CASHBACK DEBIT (...3359),ACH DEPOSIT SIGONFILE FROM REAL PROPERTY MA,,2246.25,,Shared
2026-05-14,Chick-fil-A,Restaurants & Bars,Apple Card,Chick-fil-A,,-25.07,,Shared
2026-05-14,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-24.52,,Shared
2026-05-14,State Farm,Insurance,Apple Card,State Farm Insurance,,-219.66,,Shared
2026-05-13,Xcel Energy,Gas & Electric,CASHBACK DEBIT (...3359),ACH WITHDRAWAL XCEL ENERGY-PSCO XCELENERGY,,-155.50,,Shared
2026-05-12,Yard House,Restaurants & Bars,Apple Card,Yard House,,-52.00,,Shared
2026-05-12,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.25,,Shared
2026-05-12,"Apple Card, Cash, and Savings",Credit Card Payment,Apple Card,Bill Payment,,300.00,,Shared
2026-05-12,"Apple Card, Cash, and Savings",Credit Card Payment,Apple Card,Bill Payment,,6.21,,Shared
2026-05-12,"Apple Card, Cash, and Savings",Restaurants & Bars,Apple Cash,Point Of Sale,,-6.21,,Shared
2026-05-11,Starbucks,Coffee Shops,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0511 7606&@#STARBUCKS STORE ENGLEWOOD CO US,,-6.25,,Shared
2026-05-11,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0511 7606&@#KONARK GROCERS HIGHLANDS RAN CO US,,-2.49,,Shared
2026-05-11,Discover,Transfer,CASHBACK DEBIT (...3359),TRANSFER FROM ONLINE SAVINGS 4287,,3751.00,,Shared
2026-05-11,QuikTrip,Gas,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0511 8352&@#QT 4209 OUTSIDE AURORA CO US,,-87.26,,Shared
2026-05-11,ServiceMac,Mortgage,CASHBACK DEBIT (...3359),ACH WITHDRAWAL SERVICEMAC LLC PAYMENT,,-4813.80,,Shared
2026-05-11,Costco,Shopping,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0511 8352&@#COSTCO WHSE #10 PARKER CO US,,-241.04,,Shared
2026-05-11,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-25.35,,Shared
2026-05-10,STEM School,Education,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0510 7606&@#STEM SCHOOL STO 3036837836 CO US,,-24.00,,Shared
2026-05-10,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0510 7606&@#KONARK GROCERS PARKER CO US,,-41.94,,Shared
2026-05-10,King Soopers,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0510 7606&@#KING SOOPERS #0 PARKER CO US,,-88.12,,Shared
2026-05-10,Apna Bazar,Groceries,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0509 7606&@#APNA BAZAR WESTMINSTER CO US,,-36.34,,Shared
2026-05-10,Zelle,Transfer,CASHBACK DEBIT (...3359),ZELLE PAYMENT TO HEMAN VORA 4BQ1MX6ND,,-100.00,,Shared
2026-05-10,K-Stop Gas & Grocery,Groceries,Apple Card,K-Stop Gas & Grocery,,-27.85,,Shared
2026-05-09,Sport Clips,Personal,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0509 7606&@#SPORT CLIPS - C PARKER CO US,,-42.00,,Shared
2026-05-09,King Soopers,Groceries,Apple Card,King Soopers,,-215.08,,Shared
2026-05-08,"Apple Card, Cash, and Savings",Balance Adjustments,Apple Card,Adjustment,,-0.17,,Shared
2026-05-08,Bawarchi Biryanis,Restaurants & Bars,Apple Card,Bawarchi Biryanis,,17.07,,Shared
2026-05-08,Bawarchi Biryanis,Restaurants & Bars,Apple Card,Bawarchi Biryanis,,-105.61,,Shared
2026-05-08,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.31,,Shared
2026-05-08,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,1.06,,Shared
2026-05-07,Chick-fil-A,Restaurants & Bars,CASHBACK DEBIT (...3359),DEBIT PURCHASE 0507 7606&@#CHICK-FIL-A #11 PARKER CO US,,-33.80,,Shared
2026-05-07,Apple,Shopping,Apple Card,Apple,,-10.49,,Shared
2026-05-05,Target,Groceries,Apple Card,Target,,-100.48,,Shared
2026-05-05,Konark Grocers,Groceries,Apple Card,Konark Grocers,,-26.69,,Shared
2026-05-05,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.35,,Shared
2026-05-05,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,1.43,,Shared
2026-05-05,Discover,Cash & ATM,CASHBACK DEBIT (...3359),ATM Withdrawal,,-160.00,,Shared
2026-05-04,Phillips 66,Gas,Apple Card,Phillips 66,,-71.73,,Shared
2026-05-04,City Market & Deli,Restaurants & Bars,Apple Card,City Market Deli,,-2.15,,Shared
2026-05-04,Apple,Shopping,Apple Card,Apple,,-11.54,,Shared
2026-05-04,PWSD Utility,Water,CASHBACK DEBIT (...3359),ACH Withdrawal PWSD UTILITY,,-103.15,,Shared
2026-05-04,Chase,Credit Card Payment,CASHBACK DEBIT (...3359),ACH Withdrawal CHASE CREDIT CRD EPAY,,-355.94,,Shared
2026-05-04,Rocket Mortgage,Mortgage,CASHBACK DEBIT (...3359),ACH Withdrawal ROCKET MORTGAGE LOAN,,-3729.92,,Shared
2026-05-04,Target,Shopping,CASHBACK DEBIT (...3359),ACH Withdrawal TARGET DEBIT CRD ACH TRAN 5S0102 TARGET 2716 HIGHLANDS RAN CO,,-43.24,,Shared
2026-05-04,Discover,Cash & ATM,CASHBACK DEBIT (...3359),ATM Withdrawal,,-200.00,,Shared
2026-05-04,Discover,Cash & ATM,CASHBACK DEBIT (...3359),ATM Withdrawal,,-200.00,,Shared
2026-05-04,Discover,Cash & ATM,CASHBACK DEBIT (...3359),ATM Withdrawal,,-100.00,,Shared
2026-05-03,Circle K,Gas,CASHBACK DEBIT (...3359),CIRCLEK#2709516,,-95.00,,Shared
2026-05-03,Xfinity,Internet & Cable,CASHBACK DEBIT (...3359),XFINITY MOBILE,,-19.79,,Shared
2026-05-03,Bakeries,Restaurants & Bars,Apple Card,"Garnish Fusion Bakery, Bar & Grill",,-53.99,,Shared
2026-05-03,Walmart,Shopping,Apple Card,Walmart Vision Center,,-76.22,,Shared
2026-05-03,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.32,,Shared
2026-05-03,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.52,,Shared
2026-05-03,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.17,,Shared
2026-05-03,Uber,Taxi & Ride Shares,Apple Card,Uber   *one Membership,,-9.99,,Shared
2026-05-02,Noodles & Company,Restaurants & Bars,Apple Card,Noodles & Company,,-8.48,,Shared
2026-05-02,Bawarchi Biryanis,Restaurants & Bars,Apple Card,Bawarchi Biryanis,,-51.74,,Shared
2026-05-02,E-470 Public Highway Authority,Parking & Tolls,Apple Card,E-470 Public Highway Authority,,-31.50,,Shared
2026-05-01,Zelle,Transfer,CASHBACK DEBIT (...3359),Zelle Payment To HEMAN VORA MBI1WXNID,,-65.00,,Shared
2026-05-01,Uber Eats,Restaurants & Bars,Apple Card,Uber Eats,,-45.01,,Shared
2026-04-30,Sunbit,Loan Repayment,CASHBACK DEBIT (...3359),SUNBIT,,-791.79,,Shared
2026-04-30,Discover,Cash & ATM,CASHBACK DEBIT (...3359),ATM Withdrawal,,-300.00,,Shared
2026-04-30,Children's Mind Deals,Gifts,Apple Card,Childrensmindeals,,-132.00,,Shared
2026-04-30,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.54,,Shared
2026-04-30,Taaza Mart,Groceries,Apple Card,Taaza Mart,,-95.18,,Shared
2026-04-29,spruce power,Gas & Electric,CASHBACK DEBIT (...3359),ACH Withdrawal Spruce Power 4 PAYMENTS,,-61.13,,Shared
2026-04-29,Discover,Transfer,CASHBACK DEBIT (...3359),Transfer From CHECKING 2481,,4500.00,,Shared
2026-04-29,Barnes & Noble,Shopping,Apple Card,Barnes & Noble,,-44.51,,Shared
2026-04-28,King Soopers,Groceries,CASHBACK DEBIT (...3359),KING SOOPERS #0,,-59.34,,Shared
2026-04-28,Raising Cane's,Restaurants & Bars,Apple Card,Raising Cane's Chicken Fingers,,-27.07,,Shared
2026-04-28,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.03,,Shared
2026-04-28,Lyft,Taxi & Ride Shares,Apple Card,Lyft,,-2.00,,Shared
2026-04-27,Lyft,Taxi & Ride Shares,Apple Card,Lyft,,-2.00,,Shared
2026-04-27,Lyft,Taxi & Ride Shares,Apple Card,Lyft,,-15.98,,Shared
2026-04-27,Apple,Credit Card Payment,CASHBACK DEBIT (...3359),ACH Withdrawal APPLECARD GSBANK PAYMENT,,-886.67,,Shared
2026-04-27,Target,Shopping,CASHBACK DEBIT (...3359),ACH Withdrawal TARGET DEBIT CRD ACH TRAN 5S0102 TARGET 2219 PARKER CO,,-21.52,,Shared
2026-04-27,UPS,Postage & Shipping,Apple Card,The UPS Store,,-74.71,,Shared
2026-04-27,Apple,Shopping,Apple Card,Apple,,-0.99,,Shared
2026-04-27,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,1.21,,Shared
2026-04-27,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.24,,Shared
2026-04-27,Google,Internet & Cable,Apple Card,Google,,-24.14,,Shared
2026-04-27,Lyft,Taxi & Ride Shares,Apple Card,Lyft,,-18.68,,Shared
2026-04-27,Aurora,Entertainment & Recreation,Apple Card,Activate,,-60.48,,Shared
2026-04-27,Restaurants,Restaurants & Bars,Apple Card,Chat Patti Restaurant,,-19.43,,Shared
2026-04-26,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),KONARK GROCERS,,-27.75,,Shared
2026-04-26,Discover,Transfer,CASHBACK DEBIT (...3359),Transfer From CHECKING 6079,,4000.00,,Shared
2026-04-26,Lyft,Taxi & Ride Shares,Apple Card,Lyft,,-45.67,,Shared
2026-04-26,Marriott,Travel & Vacation,Apple Card,Marriott,,-167.40,,Shared
2026-04-26,Long Peak,Shopping,Apple Card,Long Peak #93,,-28.64,,Shared
2026-04-26,Denver Airport,Parking & Tolls,Apple Card,Denver Airport Enterpr,,-37.71,,Shared
2026-04-26,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.03,,Shared
2026-04-26,"Apple Card, Cash, and Savings",Restaurants & Bars,Apple Cash,Point Of Sale,,-5.73,,Shared
2026-04-26,"Apple Card, Cash, and Savings",Transfer,Apple Card,Bill Payment,,886.67,,Shared
2026-04-26,"Apple Card, Cash, and Savings",Transfer,Apple Card,Bill Payment,,5.73,,Shared
2026-04-25,Konark Grocers,Groceries,CASHBACK DEBIT (...3359),KONARK GROCERS,,-11.82,,Shared
2026-04-25,Apple,Shopping,Apple Card,Apple,,-0.99,,Shared
2026-04-25,HomeGoods,Shopping,Apple Card,HomeGoods,,-86.38,,Shared
2026-04-24,Comcast,Internet & Cable,CASHBACK DEBIT (...3359),ACH Withdrawal COMCAST-XFINITY CABLE SVCS,,-50.59,,Shared
2026-04-24,Target,Shopping,CASHBACK DEBIT (...3359),ACH Withdrawal TARGET DEBIT CRD PURCHASE,,-7.07,,Shared
2026-04-24,Target,Shopping,CASHBACK DEBIT (...3359),ACH Withdrawal TARGET DEBIT CRD PURCHASE,,-30.09,,Shared
2026-04-24,McDonald's,Restaurants & Bars,Apple Card,Mcdonald's #f21389,,-18.76,,Shared
2026-04-24,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.28,,Shared
2026-04-24,"Apple Card, Cash, and Savings",Other Income,Apple Cash,Deposit,,0.10,,Shared
